[Header]
GSGX Version	1.9.0
Report Date	7/2/2014 1:28:38 PM
Project	LUNG
Group Set	LUNG
Analysis	LUNG_nonorm_nobkgd
Normalization	none
[Control Probe Profile]
TargetID	ProbeID	6285431096_A.AVG_Signal	6285431096_A.NARRAYS	6285431096_A.ARRAY_STDEV	6285431096_A.BEAD_STDERR	6285431096_A.Avg_NBEADS	6285431096_A.Detection Pval	6285431098_A.AVG_Signal	6285431098_A.NARRAYS	6285431098_A.ARRAY_STDEV	6285431098_A.BEAD_STDERR	6285431098_A.Avg_NBEADS	6285431098_A.Detection Pval	6285431098_B.AVG_Signal	6285431098_B.NARRAYS	6285431098_B.ARRAY_STDEV	6285431098_B.BEAD_STDERR	6285431098_B.Avg_NBEADS	6285431098_B.Detection Pval	6285431096_B.AVG_Signal	6285431096_B.NARRAYS	6285431096_B.ARRAY_STDEV	6285431096_B.BEAD_STDERR	6285431096_B.Avg_NBEADS	6285431096_B.Detection Pval	6285431098_C.AVG_Signal	6285431098_C.NARRAYS	6285431098_C.ARRAY_STDEV	6285431098_C.BEAD_STDERR	6285431098_C.Avg_NBEADS	6285431098_C.Detection Pval	6285431098_D.AVG_Signal	6285431098_D.NARRAYS	6285431098_D.ARRAY_STDEV	6285431098_D.BEAD_STDERR	6285431098_D.Avg_NBEADS	6285431098_D.Detection Pval	6285431096_C.AVG_Signal	6285431096_C.NARRAYS	6285431096_C.ARRAY_STDEV	6285431096_C.BEAD_STDERR	6285431096_C.Avg_NBEADS	6285431096_C.Detection Pval	6285431096_D.AVG_Signal	6285431096_D.NARRAYS	6285431096_D.ARRAY_STDEV	6285431096_D.BEAD_STDERR	6285431096_D.Avg_NBEADS	6285431096_D.Detection Pval	6285431096_E.AVG_Signal	6285431096_E.NARRAYS	6285431096_E.ARRAY_STDEV	6285431096_E.BEAD_STDERR	6285431096_E.Avg_NBEADS	6285431096_E.Detection Pval	6285431096_F.AVG_Signal	6285431096_F.NARRAYS	6285431096_F.ARRAY_STDEV	6285431096_F.BEAD_STDERR	6285431096_F.Avg_NBEADS	6285431096_F.Detection Pval	6285431098_E.AVG_Signal	6285431098_E.NARRAYS	6285431098_E.ARRAY_STDEV	6285431098_E.BEAD_STDERR	6285431098_E.Avg_NBEADS	6285431098_E.Detection Pval	6285431098_F.AVG_Signal	6285431098_F.NARRAYS	6285431098_F.ARRAY_STDEV	6285431098_F.BEAD_STDERR	6285431098_F.Avg_NBEADS	6285431098_F.Detection Pval	
HOUSEKEEPING	1010296	691.4	1	NaN	24.239	42	0.00000	1339.7	1	NaN	57.416	33	0.00000	1319.9	1	NaN	45.172	39	0.00000	456.4	1	NaN	28.779	34	0.00000	476.5	1	NaN	15.573	47	0.00000	1094.1	1	NaN	31.422	37	0.00000	180.7	1	NaN	9.788	33	0.00107	171.3	1	NaN	7.798	46	0.00000	151.1	1	NaN	9.357	39	0.00214	245.8	1	NaN	12.327	41	0.00000	834.4	1	NaN	33.134	36	0.00000	766.5	1	NaN	24.640	53	0.00000	
HOUSEKEEPING	1030133	424.5	1	NaN	10.582	138	0.00000	631.2	1	NaN	13.247	118	0.00000	641.0	1	NaN	11.500	119	0.00000	422.4	1	NaN	10.888	155	0.00000	761.0	1	NaN	11.810	138	0.00000	790.0	1	NaN	14.103	110	0.00000	180.2	1	NaN	4.447	99	0.00107	172.4	1	NaN	4.847	108	0.00000	164.3	1	NaN	4.517	124	0.00000	230.9	1	NaN	6.157	120	0.00000	398.2	1	NaN	8.478	149	0.00000	311.3	1	NaN	6.512	125	0.00000	
HOUSEKEEPING	1690689	19522.8	1	NaN	476.991	134	0.00000	32794.6	1	NaN	515.336	119	0.00000	31856.7	1	NaN	513.548	123	0.00000	11833.6	1	NaN	311.372	146	0.00000	19904.2	1	NaN	348.109	121	0.00000	37025.5	1	NaN	690.733	126	0.00000	7686.9	1	NaN	215.690	120	0.00000	8684.5	1	NaN	229.447	134	0.00000	6055.0	1	NaN	160.577	118	0.00000	8340.9	1	NaN	211.204	141	0.00000	31390.6	1	NaN	691.516	146	0.00000	30947.7	1	NaN	575.401	134	0.00000	
HOUSEKEEPING	2260521	4312.8	1	NaN	240.003	63	0.00000	8702.5	1	NaN	250.104	75	0.00000	8346.3	1	NaN	255.409	85	0.00000	3232.3	1	NaN	126.642	89	0.00000	5579.7	1	NaN	143.723	81	0.00000	9822.3	1	NaN	307.755	74	0.00000	1565.6	1	NaN	57.122	82	0.00000	1666.4	1	NaN	62.936	88	0.00000	1265.8	1	NaN	61.633	86	0.00000	2677.3	1	NaN	111.677	91	0.00000	7642.9	1	NaN	230.243	86	0.00000	7551.1	1	NaN	255.714	76	0.00000	
HOUSEKEEPING	2470521	7520.4	1	NaN	254.752	103	0.00000	11269.6	1	NaN	212.853	104	0.00000	11693.7	1	NaN	251.467	123	0.00000	5110.5	1	NaN	133.177	139	0.00000	6286.0	1	NaN	176.008	106	0.00000	14328.4	1	NaN	385.715	114	0.00000	2681.6	1	NaN	80.449	114	0.00000	2783.8	1	NaN	78.823	127	0.00000	1706.9	1	NaN	71.065	102	0.00000	3818.0	1	NaN	132.668	110	0.00000	11271.9	1	NaN	283.261	120	0.00000	11715.0	1	NaN	295.092	134	0.00000	
HOUSEKEEPING	2680722	275.4	1	NaN	9.683	117	0.00000	197.1	1	NaN	4.527	145	0.00000	183.2	1	NaN	4.441	120	0.00107	246.6	1	NaN	7.005	120	0.00000	241.3	1	NaN	5.038	128	0.00000	648.7	1	NaN	17.967	118	0.00000	379.3	1	NaN	11.739	120	0.00000	371.6	1	NaN	11.834	128	0.00000	405.3	1	NaN	13.917	124	0.00000	250.2	1	NaN	8.471	108	0.00000	140.8	1	NaN	3.935	87	0.00214	256.1	1	NaN	6.233	123	0.00000	
HOUSEKEEPING	4640114	10477.1	1	NaN	357.940	86	0.00000	18179.1	1	NaN	386.638	77	0.00000	17223.8	1	NaN	441.137	82	0.00000	13708.9	1	NaN	558.455	70	0.00000	23228.3	1	NaN	557.737	68	0.00000	33104.0	1	NaN	899.033	87	0.00000	4594.9	1	NaN	168.874	77	0.00000	4070.6	1	NaN	148.298	66	0.00000	3853.7	1	NaN	161.500	80	0.00000	6806.1	1	NaN	253.984	86	0.00000	17070.2	1	NaN	631.613	75	0.00000	21214.3	1	NaN	589.602	83	0.00000	
HOUSEKEEPING	4830750	137.7	1	NaN	3.899	108	0.31517	127.5	1	NaN	2.414	122	0.19551	126.7	1	NaN	2.124	124	0.14103	127.9	1	NaN	3.718	113	0.41453	119.6	1	NaN	2.084	135	0.14103	125.0	1	NaN	2.939	109	0.23504	118.2	1	NaN	3.004	133	0.64316	122.2	1	NaN	2.611	143	0.39316	119.3	1	NaN	3.578	127	0.44231	117.7	1	NaN	2.923	121	0.53739	111.9	1	NaN	2.459	136	0.23504	113.8	1	NaN	2.273	120	0.15491	
HOUSEKEEPING	5870154	2373.7	1	NaN	81.803	119	0.00000	3344.1	1	NaN	78.194	126	0.00000	3286.4	1	NaN	70.604	140	0.00000	2235.8	1	NaN	75.500	123	0.00000	2776.1	1	NaN	60.654	130	0.00000	5968.1	1	NaN	124.323	127	0.00000	801.6	1	NaN	26.189	116	0.00000	859.0	1	NaN	27.876	127	0.00000	558.8	1	NaN	20.275	116	0.00000	2105.1	1	NaN	63.114	126	0.00000	4732.1	1	NaN	132.264	121	0.00000	5104.3	1	NaN	129.758	121	0.00000	
HOUSEKEEPING	5960379	12142.8	1	NaN	504.599	37	0.00000	18051.8	1	NaN	613.875	31	0.00000	18398.5	1	NaN	593.310	28	0.00000	9093.2	1	NaN	389.627	44	0.00000	13979.1	1	NaN	391.070	45	0.00000	21180.3	1	NaN	544.113	31	0.00000	5022.0	1	NaN	227.989	24	0.00000	4733.3	1	NaN	265.659	36	0.00000	3843.2	1	NaN	166.384	38	0.00000	6507.1	1	NaN	298.201	40	0.00000	17769.5	1	NaN	902.693	31	0.00000	14290.9	1	NaN	686.537	25	0.00000	
